Date,Date,Close Price,Price Difference Class
2018-04-15 10:00:00,2018-04-15 10:00:00,8119.81,1
2018-04-15 11:00:00,2018-04-15 11:00:00,8339.13,0
2018-04-15 12:00:00,2018-04-15 12:00:00,8334.78,1
2018-04-15 13:00:00,2018-04-15 13:00:00,8347.27,0
2018-04-15 14:00:00,2018-04-15 14:00:00,8337.15,0
2018-04-15 15:00:00,2018-04-15 15:00:00,8279.69,0
2018-04-15 16:00:00,2018-04-15 16:00:00,8277.68,1
2018-04-15 17:00:00,2018-04-15 17:00:00,8290.19,1
2018-04-15 18:00:00,2018-04-15 18:00:00,8322.66,0
2018-04-15 19:00:00,2018-04-15 19:00:00,8305.01,0
2018-04-15 20:00:00,2018-04-15 20:00:00,8287.23,1
2018-04-15 21:00:00,2018-04-15 21:00:00,8295.93,1
2018-04-15 22:00:00,2018-04-15 22:00:00,8341.44,1
2018-04-15 23:00:00,2018-04-15 23:00:00,8355.92,1
2018-04-16 00:00:00,2018-04-16 00:00:00,8382.7,0
2018-04-16 01:00:00,2018-04-16 01:00:00,8338.37,0
2018-04-16 02:00:00,2018-04-16 02:00:00,8143.3,1
2018-04-16 03:00:00,2018-04-16 03:00:00,8164.12,0
2018-04-16 04:00:00,2018-04-16 04:00:00,8142.1,0
2018-04-16 05:00:00,2018-04-16 05:00:00,8059.99,1
2018-04-16 06:00:00,2018-04-16 06:00:00,8079.29,1
2018-04-16 07:00:00,2018-04-16 07:00:00,8113.65,1
2018-04-16 08:00:00,2018-04-16 08:00:00,8129.72,0
2018-04-16 09:00:00,2018-04-16 09:00:00,8098.06,0
2018-04-16 10:00:00,2018-04-16 10:00:00,8073.44,1
2018-04-16 11:00:00,2018-04-16 11:00:00,8087.14,0
2018-04-16 12:00:00,2018-04-16 12:00:00,7945.29,1
2018-04-16 13:00:00,2018-04-16 13:00:00,7960.14,1
2018-04-16 14:00:00,2018-04-16 14:00:00,7976.93,0
2018-04-16 15:00:00,2018-04-16 15:00:00,7971.44,0
2018-04-16 16:00:00,2018-04-16 16:00:00,7965.24,1
2018-04-16 17:00:00,2018-04-16 17:00:00,8029.92,0
2018-04-16 18:00:00,2018-04-16 18:00:00,8018.2,0
2018-04-16 19:00:00,2018-04-16 19:00:00,7980.03,1
2018-04-16 20:00:00,2018-04-16 20:00:00,7990.08,1
2018-04-16 21:00:00,2018-04-16 21:00:00,7999.79,1
2018-04-16 22:00:00,2018-04-16 22:00:00,8011.24,1
2018-04-16 23:00:00,2018-04-16 23:00:00,8050.36,0
2018-04-17 00:00:00,2018-04-17 00:00:00,8040.81,0
2018-04-17 01:00:00,2018-04-17 01:00:00,8029.95,1
2018-04-17 02:00:00,2018-04-17 02:00:00,8031.12,0
2018-04-17 03:00:00,2018-04-17 03:00:00,8029.55,0
2018-04-17 04:00:00,2018-04-17 04:00:00,8015.56,0
2018-04-17 05:00:00,2018-04-17 05:00:00,7974.7,1
2018-04-17 06:00:00,2018-04-17 06:00:00,8016.36,1
2018-04-17 07:00:00,2018-04-17 07:00:00,8112.75,1
2018-04-17 08:00:00,2018-04-17 08:00:00,8132.3,1
2018-04-17 09:00:00,2018-04-17 09:00:00,8137.67,0
2018-04-17 10:00:00,2018-04-17 10:00:00,8088.35,1
2018-04-17 11:00:00,2018-04-17 11:00:00,8111.01,0
2018-04-17 12:00:00,2018-04-17 12:00:00,8093.76,1
2018-04-17 13:00:00,2018-04-17 13:00:00,8094.66,1
2018-04-17 14:00:00,2018-04-17 14:00:00,8111.62,0
2018-04-17 15:00:00,2018-04-17 15:00:00,8086.5,1
2018-04-17 16:00:00,2018-04-17 16:00:00,8112.1,0
2018-04-17 17:00:00,2018-04-17 17:00:00,8100.71,0
2018-04-17 18:00:00,2018-04-17 18:00:00,7931.81,0
2018-04-17 19:00:00,2018-04-17 19:00:00,7878.48,1
2018-04-17 20:00:00,2018-04-17 20:00:00,7912.96,0
2018-04-17 21:00:00,2018-04-17 21:00:00,7908.71,0
2018-04-17 22:00:00,2018-04-17 22:00:00,7896.88,0
2018-04-17 23:00:00,2018-04-17 23:00:00,7889.27,1
2018-04-18 00:00:00,2018-04-18 00:00:00,7911.02,1
2018-04-18 01:00:00,2018-04-18 01:00:00,7934.22,0
