tweet id,tweet_text,Time
9.94E+17,RT @litenettcom: With an audience of 10 million per month (120 million per year) at a rate of € 3.0 per user - the profit will be € 360 000…,2018-05-10 05:51:00
9.94E+17,"RT @InfoProNetwork: 10.000.00 evo token airdrop
2000 participants

 RULES
1. join the telegram  https://t.co/wi41SNrtji 
2 . follow
3. retw…",2018-05-10 05:37:00
9.94E+17,"RT @Thr_Official: #THR Journey 
$13.76 May 7 Day end 
May 8 - Grand Day 
Pic 1 $48 10.00 AM
Pic 2 $143.88 2 PM
Pic 3 $215 6 PM
#Listing #Pr…",2018-05-10 05:34:00
9.94E+17,"#cryptocurrency Price Analysis for #Bitsend #BSD : ⬇️
Last Hour Change : -0.03 % || 10-05-2018 07:00
Price in #USD… https://t.co/UEJ2ErXKgr",2018-05-10 05:00:00
9.94E+17,"#cryptocurrency Price Analysis for #Bitsend #BSD : ⬇️
Last Hour Change : -0.76 % || 10-05-2018 06:00
Price in #USD… https://t.co/UYbwvAVDMP",2018-05-10 04:00:00
9.94E+17,"RT @Thr_Official: #THR Journey 
$13.76 May 7 Day end 
May 8 - Grand Day 
Pic 1 $48 10.00 AM
Pic 2 $143.88 2 PM
Pic 3 $215 6 PM
#Listing #Pr…",2018-05-10 03:53:00
9.94E+17,"Sniper Trade BUY Alert $GTO $BTC 

Symbol Pair : GTOBTC

Binance 1 Hour Chart - 5/10/2018 3:00:00 AM UTC
Price : 0.… https://t.co/D9Wbs8y8h3",2018-05-10 03:10:00
9.94E+17,"Sniper Trade BUY Alert $XZC $BTC 

Symbol Pair : XZCBTC

Binance 1 Hour Chart - 5/10/2018 3:00:00 AM UTC
Price : 0.… https://t.co/Z51lxVu6yk",2018-05-10 03:01:00
9.94E+17,"#cryptocurrency Price Analysis for #Bitsend #BSD : ⬇️
Last Hour Change : -0.01 % || 10-05-2018 05:00
Price in #USD… https://t.co/1B6ht0ZoGO",2018-05-10 03:00:00
9.94E+17,"RT @Thr_Official: #THR Journey 
$13.76 May 7 Day end 
May 8 - Grand Day 
Pic 1 $48 10.00 AM
Pic 2 $143.88 2 PM
Pic 3 $215 6 PM
#Listing #Pr…",2018-05-10 02:19:00
9.94E+17,"Sniper Trade BUY Alert $GTO $BTC 

Symbol Pair : GTOBTC

Binance 1 Hour Chart - 5/10/2018 2:00:00 AM UTC
Price : 0.… https://t.co/y9pVsG091D",2018-05-10 02:10:00
9.94E+17,"10.000.00 evo token airdrop
2000 participants

 RULES
1. join the telegram  https://t.co/wi41SNrtji 
2 . follow
3.… https://t.co/uBc8fKT4Yl",2018-05-10 02:00:00
9.94E+17,"#cryptocurrency Price Analysis for #Bitsend #BSD : ⬇️
Last Hour Change : -0.17 % || 10-05-2018 04:00
Price in #USD… https://t.co/oV9WqeyAKp",2018-05-10 02:00:00
9.94E+17,"RT @Thr_Official: #THR Journey 
$13.76 May 7 Day end 
May 8 - Grand Day 
Pic 1 $48 10.00 AM
Pic 2 $143.88 2 PM
Pic 3 $215 6 PM
#Listing #Pr…",2018-05-10 01:05:00
9.94E+17,"Sniper Trade BUY Alert $MDA $BTC 

Symbol Pair : MDABTC

Binance 1 Hour Chart - 5/10/2018 1:00:00 AM UTC
Price : 0.… https://t.co/wHtG6OmGhV",2018-05-10 01:00:00
9.94E+17,"#cryptocurrency Price Analysis for #Bitsend #BSD : ⬇️
Last Hour Change : -0.65 % || 10-05-2018 03:00
Price in #USD… https://t.co/5sWCFZYRXC",2018-05-10 01:00:00
9.94E+17,#currency #cryptocurrency Top Ten Crypto Websites | Best Cryptocurrency News &amp; Info Websites!: HTTP/1.1 200 OK Date… https://t.co/Vl9GsWas6O,2018-05-10 00:33:00
9.94E+17,"Sniper Trade BUY Alert $MDA $BTC 

Symbol Pair : MDABTC

Binance 1 Hour Chart - 5/10/2018 12:00:00 AM UTC
Price : 0… https://t.co/U5Q5VVsJCQ",2018-05-10 00:00:00
9.94E+17,"#cryptocurrency Price Analysis for #Bitsend #BSD : 
Last Hour Change : 0.56 % || 10-05-2018 02:00
Price in #USD : 0… https://t.co/IVof1PtOdz",2018-05-10 00:00:00
9.95E+17,"RT @Cryptocomments: WeGold, a dentralized travel platform, is coducting an airdrop (10,000 participant limit). Receive 218 WGD tokens (valu…",2018-05-11 21:50:00
9.95E+17,"WeGold, a dentralized travel platform, is coducting an airdrop (10,000 participant limit). Receive 218 WGD tokens (… https://t.co/0MMBwp19PO",2018-05-11 21:17:00
